time,download,upload
13:25:54,79.11,49.69
13:26:15,85.0,44.6
13:26:35,83.37,48.76
13:26:56,82.94,49.83
13:27:16,82.39,49.37
13:27:36,84.51,48.61
13:27:57,83.17,50.8
13:28:17,83.66,49.91
13:28:38,83.9,49.58
13:28:58,85.11,49.32
13:29:18,82.68,49.53
13:29:39,84.48,48.95
13:29:59,84.41,48.01
13:30:20,84.86,48.71
13:30:40,86.76,47.26
13:31:00,86.45,47.99
13:31:20,84.74,48.14
13:31:41,84.97,46.59
13:32:01,85.57,49.42
13:32:22,85.55,49.95
13:32:42,84.54,49.94
13:33:02,84.78,48.27
13:33:22,85.01,44.8
13:33:43,85.66,44.09
13:34:03,84.31,50.2
13:34:23,85.76,49.38
13:34:44,83.84,49.95
13:35:04,85.57,48.2
13:35:24,84.06,49.13
13:35:45,85.48,47.09
13:36:05,78.59,46.46
13:36:26,86.04,47.58
13:36:46,78.4,45.31
13:37:07,84.88,49.16
13:37:27,85.8,49.54
13:37:47,82.77,50.05
13:38:07,83.06,47.1
13:38:28,82.44,50.27
13:38:48,83.81,50.89
13:39:08,66.28,47.85
13:39:29,67.95,49.32
13:39:49,84.86,49.52
13:40:09,84.82,48.03
13:40:30,82.37,47.94
13:40:50,83.32,49.62
13:41:10,51.32,49.72
13:41:31,83.51,48.01
13:41:51,81.88,45.65
13:42:12,84.08,50.29
13:42:32,81.8,48.95
13:42:52,83.89,42.96
13:43:13,84.63,48.9
13:43:33,85.59,48.14
13:43:54,63.31,49.69
